Postcode,Hopsital_name,Team type,Routinely admitting acute team,Strategic Clinical Network,Health Board / Trust,Stroke Team,Easting,Northing,door_to_needle,Fixed,18NSC,24NSC,30CSC Example
RM70AG,RM70AG,Routinely admitting team,1,London SCN,Barking; Havering and Redbridge University Hospitals NHS Trust,Queen's Hospital; Rom Valley Way; Romford,551118,187780,40,2,,2,1
E11BB,E11BB,Routinely admitting team,1,London SCN,Barts Health NHS Trust,The Royal London Hospital,534829,181798,40,2,,2,2
SW66SX,SW66SX,Routinely admitting team,1,London SCN,Imperial College Healthcare NHS Trust,Charing Cross Hospital; Fulham Palace Road; London,524226,176487,40,2,,2,2
SE59RW,SE59RW,Routinely admitting team,1,London SCN,King's College Hospital NHS Foundation Trust,King's College Hospital HASU; Bessemer Road; London,532536,176228,40,2,,2,1
BR68ND,BR68ND,Routinely admitting team,1,London SCN,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital; Orpington,543443,165032,40,2,,2,1
HA13UJ,HA13UJ,Routinely admitting team,1,London SCN,London North West Healthcare NHS Trust,Northwick Park Hospital; Watford Road; Harrow,516376,187616,40,2,,2,1
SW170QT,SW170QT,Routinely admitting team,1,London SCN,St George's Healthcare NHS Trust,St George's Hospital; Blackshaw Road; London,526925,171324,40,,,,2
NW12BU,NW12BU,Routinely admitting team,1,London SCN,University College London Hospitals NHS Foundation Trust,University College London Hospital; Euston Road; London,529347,182309,40,,,,2
DE223NE,DE223NE,Routinely admitting team,1,East Midlands SCN,Derby Hospitals NHS Foundation Trust,Royal Derby Hospital,432746,334973,40,,,,
NN15BD,NN15BD,Routinely admitting team,1,East Midlands SCN,Northampton General Hospital NHS Trust,Northampton General Hospital Cliftonville,476319,260349,40,,,,
NG51PB,NG51PB,Routinely admitting team,1,East Midlands SCN,Nottingham University Hospitals NHS Trust,Nottingham City Hospital; Nottingham,456490,344070,40,2,2,2,2
NG174JL,NG174JL,Routinely admitting team,1,East Midlands SCN,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,451460,359962,40,,,,
LN25QY,LN25QY,Routinely admitting team,1,East Midlands SCN,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital; Lincoln,498908,371749,40,,,,
PE219QS,PE219QS,Routinely admitting team,1,East Midlands SCN,United Lincolnshire Hospitals NHS Trust,Pilgrim Hospital; Boston,533673,345607,40,,,,
LE15WW,LE15WW,Routinely admitting team,1,East Midlands SCN,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,458660,303691,40,,,,
SS165NL,SS165NL,Routinely admitting team,1,East of England SCN,Basildon and Thurrock University Hospitals NHS Foundation Trust,Basildon University Hospital,569975,187156,40,,,,
MK429DJ,MK429DJ,Routinely admitting team,1,East of England SCN,Bedford Hospital NHS Trust,Bedford Hospital,504661,248873,40,,,,-1
CB20QQ,CB20QQ,Routinely admitting team,1,East of England SCN,Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,546375,254988,40,2,2,2,2
CO45JL,CO45JL,Routinely admitting team,1,East of England SCN,Colchester Hospital University NHS Foundation Trust,Colchester General Hospital; Turner Road; Colchester,599511,227486,40,,,,2
SG14AB,SG14AB,Routinely admitting team,1,East of England SCN,East and North Hertfordshire NHS Trust,Lister Hospital,522999,226630,40,,,,
IP45PD,IP45PD,Routinely admitting team,1,East of England SCN,Ipswich Hospital NHS Trust,Ipswich Hospital,619336,244656,40,,,,
NR316LA,NR316LA,Routinely admitting team,1,East of England SCN,James Paget University Hospitals NHS Foundation Trust,James Paget Hospitals; Lowestoft Road; Gorleston-on-Sea,652093,302477,40,,,,
LU40DZ,LU40DZ,Routinely admitting team,1,East of England SCN,Luton and Dunstable University Hospital NHS Foundation Trust,Luton and Dunstable Hospital; Lewsey Road; Luton,504961,222970,40,,,,2
CM17ET,CM17ET,Routinely admitting team,1,East of England SCN,Mid Essex Hospital Services NHS Trust,Broomfield Hospital,570230,211319,40,,,,
NR47UY,NR47UY,Routinely admitting team,1,East of England SCN,Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,618143,307129,40,,,,2
PE39GZ,PE39GZ,Routinely admitting team,1,East of England SCN,Peterborough and Stamford Hospitals NHS Foundation Trust,Peterborough City Hospital,516674,299847,40,,,,-1
PE304ET,PE304ET,Routinely admitting team,1,East of England SCN,Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,565228,320492,40,,,,
SS00RY,SS00RY,Routinely admitting team,1,East of England SCN,Southend University Hospital NHS Foundation Trust,Southend Hospital,586491,187309,40,,,,
WD180HB,WD180HB,Routinely admitting team,1,East of England SCN,West Hertfordshire Hospitals NHS Trust,Watford General Hospital; vicarage road; Watford,510505,195664,40,,,,
IP332QZ,IP332QZ,Routinely admitting team,1,East of England SCN,West Suffolk NHS Foundation Trust,West Suffolk Hospital,585110,262732,40,,,,
DE130RB,DE130RB,Routinely admitting team,1,West Midlands SCN,Burton Hospitals NHS Foundation Trust,Queens Hospital Burton upon Trent,423255,324526,40,,,,
DY12HQ,DY12HQ,Routinely admitting team,1,West Midlands SCN,Dudley Group of Hospitals NHS Foundation Trust,Russells Hall Hospital,392052,289456,40,,,,
CV107DJ,CV107DJ,Routinely admitting team,1,West Midlands SCN,George Eliot Hospital NHS Trust,George Eliot Hospital,435493,290649,40,,,,
B95SS,B95SS,Routinely admitting team,1,West Midlands SCN,Heart of England NHS Foundation Trust,Birmingham Heartlands Hospital; Bordesley Green East; Birmingham,411645,286935,40,,,,
WV100QP,WV100QP,Routinely admitting team,1,West Midlands SCN,Royal Wolverhampton NHS Trust,New Cross Hospital; Wednesfield Road;  Wolverhampton,393625,300219,40,,,,
B714HJ,B714HJ,Routinely admitting team,1,West Midlands SCN,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital; Lyndon; West Bromwich,400919,292165,40,,,,
TF16TF,TF16TF,Routinely admitting team,1,West Midlands SCN,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital; apley castle; Telford,365542,312839,40,,,,2
CV345BW,CV345BW,Routinely admitting team,1,West Midlands SCN,South Warwickshire NHS Foundation Trust,Warwick Hospital; Lakin Road;  Warwick,428507,265853,40,,,,-1
B152TH,B152TH,Routinely admitting team,1,West Midlands SCN,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston; Birmingham,404278,283916,40,2,2,2,2
CV22DX,CV22DX,Routinely admitting team,1,West Midlands SCN,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry; Clifford Bridge Road; Coventry,438289,280506,40,2,2,2,2
ST46QG,ST46QG,Routinely admitting team,1,West Midlands SCN,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital; Newcastle Road; Stroke-on-Trent ST4 6QG,385678,345211,40,2,2,2,2
WS29PS,WS29PS,Routinely admitting team,1,West Midlands SCN,Walsall Healthcare NHS Trust,Manor Hospital; Moat Road; Walsall,400170,298280,40,,,,
WR51DD,WR51DD,Routinely admitting team,1,West Midlands SCN,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital; Charles Hastings Way; Worcester,387713,254788,40,,,,
HR12ER,HR12ER,Routinely admitting team,1,West Midlands SCN,Wye Valley NHS Trust,Hereford County Hospital,351710,240083,40,,,,
L97AL,L97AL,Routinely admitting team,1,Cheshire and Mersey SCN,Aintree University Hospitals NHS Foundation Trust,University Hospital Aintree; Longmoor Lane; Liverpool,338285,397024,40,2,2,2,2
CH21UL,CH21UL,Routinely admitting team,1,Cheshire and Mersey SCN,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital; Liverpool Road; Chester,340130,368347,40,,,,
CW14QJ,CW14QJ,Routinely admitting team,1,Cheshire and Mersey SCN,Mid Cheshire Hospitals NHS Foundation Trust,Leighton Hospital,368248,357940,40,,,,-1
L78XP,L78XP,Routinely admitting team,1,Cheshire and Mersey SCN,Royal Liverpool and Broadgreen University Hospitals NHS Trust,Royal Liverpool University Hospital,335962,390733,40,,,,
PR86PN,PR86PN,Routinely admitting team,1,Cheshire and Mersey SCN,Southport and Ormskirk Hospital NHS Trust,Southport and Formby District General,335417,415683,40,,,,
L355DR,L355DR,Routinely admitting team,1,Cheshire and Mersey SCN,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital; Warrington Road; Rainhill; Prescot,347931,391806,40,,,,
WA51QG,WA51QG,Routinely admitting team,1,Cheshire and Mersey SCN,Warrington and Halton Hospitals NHS Foundation Trust,Warrington Hospital; Lovely Lane; Warrington,359485,388745,40,,,,-1
CH495PE,CH495PE,Routinely admitting team,1,Cheshire and Mersey SCN,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital; Upton; Wirral,327162,386488,40,,,,
FY38NR,FY38NR,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Victoria Hospital; Whiney Heys Road; Blackpool,333194,436522,40,,,,
BB23HH,BB23HH,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,East Lancashire Hospitals NHS Trust,Royal Blackburn Hospital; Haslingden Road; Blackburn,369574,426674,40,,,,
PR29HT,PR29HT,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Lancashire Teaching Hospitals NHS Foundation Trust,Royal Preston Hospital,353495,433014,40,2,2,2,2
BL97TD,BL97TD,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Pennine Acute Hospitals NHS Trust,Fairfield General Hospital; Rochdale Old Road; Bury,383200,411579,40,,,,
M68HD,M68HD,Routinely admitting team,1,Manchester; Lancashire & S.Cumbria SCN,Salford Royal NHS Foundation Trust,Salford Royal Hospital,378637,399030,40,2,2,2,2
